category,Region,price,rating,Income,review_count
American,SW,2,3.0,41327.0,38
American,SW,2,3.0,46162.0,108
American,SW,2,3.0,50234.0,1454
American,SW,2,3.0,58982.0,45
American,SW,2,3.0,61451.0,2612
American,SW,2,3.0,62180.0,114
American,SW,2,3.0,68806.0,27
American,SW,2,3.0,89152.0,301
American,SW,2,3.5,46162.0,414
American,SW,2,3.5,50234.0,3165
American,SW,2,3.5,58982.0,123
American,SW,2,3.5,61451.0,16562
American,SW,2,3.5,62180.0,394
American,SW,2,3.5,89152.0,296
American,SW,2,4.0,50234.0,6239
American,SW,2,4.0,58982.0,651
American,SW,2,4.0,61451.0,24386
American,SW,2,4.0,62180.0,213
American,SW,2,4.0,89152.0,249
American,SW,2,4.5,50234.0,910
American,SW,2,4.5,61451.0,6946
American,SW,2,4.5,62180.0,88
American,SW,2,4.5,89152.0,101
American,SW,3,3.5,58982.0,51
American,SW,3,3.5,61451.0,257
American,SW,3,4.0,50234.0,505
American,SW,3,4.0,61451.0,7176
American,SW,3,4.5,41327.0,58
American,SW,3,4.5,50234.0,436
American,SW,3,4.5,61451.0,2610
American,SW,3,4.5,62180.0,359
American,SW,3,5.0,41327.0,12
American,SW,4,4.0,61451.0,409
American,SW,4,4.5,61451.0,143
American,WC,1,2.0,49026.0,2
American,WC,1,2.0,50079.0,5
American,WC,1,2.0,80185.0,146
American,WC,1,2.5,49026.0,12
American,WC,1,2.5,50079.0,19
American,WC,1,2.5,66754.0,25
American,WC,1,3.0,47255.0,24
American,WC,1,3.0,49026.0,49
American,WC,1,3.0,50079.0,62
American,WC,1,3.0,66754.0,41
American,WC,1,3.0,80185.0,408
American,WC,1,3.5,36631.0,33
American,WC,1,3.5,44028.0,40
American,WC,1,3.5,50079.0,460
American,WC,1,3.5,66754.0,20
American,WC,1,3.5,80185.0,548
American,WC,1,4.0,44620.0,18
American,WC,1,4.0,49026.0,81
American,WC,1,4.0,50079.0,566
American,WC,1,4.0,66754.0,52
American,WC,1,4.0,80185.0,1556
American,WC,1,4.5,36631.0,23
American,WC,1,4.5,44028.0,10
American,WC,1,4.5,47255.0,2
American,WC,1,4.5,49026.0,193
American,WC,1,4.5,50079.0,186
American,WC,1,4.5,66754.0,6
American,WC,1,4.5,80185.0,208
American,WC,1,5.0,36631.0,9
American,WC,1,5.0,49026.0,70
American,WC,2,2.0,49026.0,100
American,WC,2,2.0,50079.0,131
American,WC,2,2.0,66754.0,12
American,WC,2,2.0,80185.0,765
American,WC,2,2.5,44028.0,33
American,WC,2,2.5,50079.0,190
American,WC,2,2.5,80185.0,837
American,WC,2,3.0,36631.0,83
American,WC,2,3.0,44028.0,6
American,WC,2,3.0,44620.0,95
American,WC,2,3.0,49026.0,218
American,WC,2,3.0,50079.0,773
American,WC,2,3.0,66754.0,189
American,WC,2,3.0,80185.0,6211
