,name,zipcode,county_string,rating,review_count,category,price
116,Green Garden Asian Cuisine,94523,"Contra Costa County, California",4.0,192,Chinese,$
117,The Great Wall Restaurant,94549,"Contra Costa County, California",3.5,119,Chinese,$$
118,Amazing Wok Chinese Cuisine,94506,"Contra Costa County, California",4.0,210,Chinese,$$
119,Enishi Kitchen,94513,"Contra Costa County, California",4.5,163,Chinese,$$
120,Lucky Star Chinese Restaurant,94520,"Contra Costa County, California",4.0,55,Chinese,$
121,Peony Garden,94596,"Contra Costa County, California",3.5,191,Chinese,$$
122,China City Restaurant,94509,"Contra Costa County, California",4.0,127,Chinese,$
123,3 Brothers From China,94523,"Contra Costa County, California",3.5,346,Chinese,$$
124,Skyview Noodle & Tea,94565,"Contra Costa County, California",4.5,132,Chinese,$$
125,Chef Chao Restaurant,94556,"Contra Costa County, California",4.0,114,Chinese,$$
126,Leo's Chinese Restaurant,94526,"Contra Costa County, California",3.5,105,Chinese,$$
127,Steamboat,94520,"Contra Costa County, California",4.0,311,Chinese,$$
128,Alamo Palace Chinese Restaurant,94507,"Contra Costa County, California",3.5,126,Chinese,$$
129,Oyama BBQ,94523,"Contra Costa County, California",4.0,37,Chinese,$$
130,Tokyo & Beijing,94565,"Contra Costa County, California",4.0,111,Chinese,$$
131,Sunflower Garden,94553,"Contra Costa County, California",4.0,167,Chinese,$$
132,Acme Express,94553,"Contra Costa County, California",4.5,113,Chinese,$
133,Shanghai Gourmet,94596,"Contra Costa County, California",3.0,184,Chinese,$$
134,South North Dragon,94509,"Contra Costa County, California",3.5,170,Chinese,$
135,Shan Shan Low Restaurant,94520,"Contra Costa County, California",3.5,153,Chinese,$
136,88 Noodle House,94553,"Contra Costa County, California",4.0,194,Chinese,$
137,Wahsing Chinese Restaurant,94565,"Contra Costa County, California",3.5,102,Chinese,$$
138,Szechwan Chinese Restaurant,94563,"Contra Costa County, California",3.5,89,Chinese,$$
139,China Village,94598,"Contra Costa County, California",3.0,163,Chinese,$
140,Orient Express,94583,"Contra Costa County, California",4.0,297,Chinese,$
141,Uncle Yu's,94549,"Contra Costa County, California",3.5,192,Chinese,$$
142,Silver River Restaurant,94561,"Contra Costa County, California",3.5,92,Chinese,$
143,China Paradise Restaurant,94506,"Contra Costa County, California",3.5,158,Chinese,$$
144,YiPing,94583,"Contra Costa County, California",3.5,363,Chinese,$$
145,Chop Chop Restaurant,94509,"Contra Costa County, California",4.0,91,Chinese,$
146,Three Brothers From China,94583,"Contra Costa County, California",3.5,218,Chinese,$$
147,Empress Garden Chinese Restaurant,94509,"Contra Costa County, California",4.0,49,Chinese,$$
148,Jade House,94565,"Contra Costa County, California",3.5,99,Chinese,$
149,Sasa Kitchen,94530,"Contra Costa County, California",4.0,60,Chinese,$$
150,Uncle Chung's Szechuan,94564,"Contra Costa County, California",4.0,237,Chinese,$$
151,Happy Wok,94572,"Contra Costa County, California",4.0,63,Chinese,$
152,Modern China Cafe,94596,"Contra Costa County, California",3.0,751,Chinese,$$
153,Pearl Garden,94583,"Contra Costa County, California",3.5,266,Chinese,$$
154,Yu Bistro,94563,"Contra Costa County, California",3.5,57,Chinese,$$
155,The Hideout Kitchen & Cafe,94549,"Contra Costa County, California",4.5,926,American (Traditional),$$
156,Jack's Urban Eats- Walnut Creek,94598,"Contra Costa County, California",4.0,172,American (Traditional),$$
157,Monument Grill,94520,"Contra Costa County, California",4.5,207,American (Traditional),$
158,Fat Maddie's Grille,94583,"Contra Costa County, California",4.0,679,American (Traditional),$$
159,1800 Cafe,94520,"Contra Costa County, California",4.0,278,American (Traditional),$
160,Five Suns Brewing,94553,"Contra Costa County, California",4.5,26,American (Traditional),$$
161,Zephyr Grill & Bar,94513,"Contra Costa County, California",4.0,356,American (Traditional),$$
162,Jacks Restaurant & Bar,94523,"Contra Costa County, California",3.5,1181,American (Traditional),$$
163,Heavenly Bistro,94597,"Contra Costa County, California",4.0,767,American (Traditional),$$
164,California Magic Dinner Theatre,94553,"Contra Costa County, California",5.0,165,American (Traditional),$$$
165,Gangnam Cafe,94518,"Contra Costa County, California",4.0,285,American (Traditional),$$
166,Beep's Burgers,94506,"Contra Costa County, California",4.0,105,American (Traditional),$
167,Giant Chef Burger,94523,"Contra Costa County, California",4.0,488,American (Traditional),$
168,Alex's Giant Burger,94806,"Contra Costa County, California",4.5,153,American (Traditional),$
169,Ed's Mudville Grill,94517,"Contra Costa County, California",4.0,237,American (Traditional),$$
170,Revel Kitchen & Bar,94526,"Contra Costa County, California",4.0,529,American (Traditional),$$
171,Digger's Diner,94519,"Contra Costa County, California",4.0,460,American (Traditional),$
172,Brass Door,94583,"Contra Costa County, California",3.5,374,American (Traditional),$$
173,The Peasant's Courtyard,94507,"Contra Costa County, California",4.0,280,American (Traditional),$$
174,The Red Onion,94520,"Contra Costa County, California",4.0,67,American (Traditional),$
175,Rebecca Delight Cafe,94583,"Contra Costa County, California",4.5,6,American (Traditional),$
176,Bishop Grill,94583,"Contra Costa County, California",4.0,27,American (Traditional),$$
177,The Greenery Restaurant,94598,"Contra Costa County, California",3.5,42,American (Traditional),$$
178,Min's Kitchen,94519,"Contra Costa County, California",4.0,371,American (Traditional),$
179,The Tavern,94553,"Contra Costa County, California",4.5,10,American (Traditional),$$
180,Magoo's Grill,94523,"Contra Costa County, California",4.0,206,American (Traditional),$$
181,The Hideout Kitchen & Cafe,94549,"Contra Costa County, California",4.5,926,American (New),$$
182,Danville Harvest,94526,"Contra Costa County, California",4.0,516,American (New),$$
183,Eureka!,94520,"Contra Costa County, California",4.0,845,American (New),$$
184,Wences Restaurant,94523,"Contra Costa County, California",4.0,628,American (New),$$
185,Fat Maddie's Barrelhouse & Bistro,94523,"Contra Costa County, California",4.0,16,American (New),$$
186,Wence House California Cuisine,94513,"Contra Costa County, California",4.0,154,American (New),$$
187,The Peasant & The Pear,94526,"Contra Costa County, California",4.0,1021,American (New),$$
188,Attraversiamo,94513,"Contra Costa County, California",4.5,76,American (New),$$
189,HD Burger and More,94531,"Contra Costa County, California",4.5,374,American (New),$
190,Norseman Restaurant,94523,"Contra Costa County, California",4.5,19,American (New),$$
191,Plate & Vine Restaurant,94520,"Contra Costa County, California",4.0,219,American (New),$$
192,Dana's,94526,"Contra Costa County, California",4.0,183,American (New),$$
193,Rooftop,94596,"Contra Costa County, California",3.5,710,American (New),$$
194,True Food Kitchen,94596,"Contra Costa County, California",4.0,695,American (New),$$
195,NM Cafe,94596,"Contra Costa County, California",4.5,72,American (New),$$
196,MoMo's Walnut Creek,94596,"Contra Costa County, California",3.5,281,American (New),$$
197,Esin Restaurant & Bar,94526,"Contra Costa County, California",4.0,817,American (New),$$$
198,Pinole Creek Cafe,94564,"Contra Costa County, California",4.5,248,American (New),$$
